INDEX,LATITUDE,LONGITUDE,FL_hPa,TIME,MERGED,FL
100,34.0,0.0,100,2018-06-23 06:00:00,0.0850510467593556,100
110,34.0,2.0,100,2018-06-23 06:00:00,0.0848997726444746,100
120,34.0,4.0,100,2018-06-23 06:00:00,0.0849421520063657,100
130,34.0,6.0,100,2018-06-23 06:00:00,0.0853953189995846,100
140,34.0,8.0,100,2018-06-23 06:00:00,0.0861617493875541,100
150,34.0,10.0,100,2018-06-23 06:00:00,0.0866238731418363,100
200,36.0,0.0,100,2018-06-23 06:00:00,0.0867295136154526,100
210,36.0,2.0,100,2018-06-23 06:00:00,0.0866912201624188,100
220,36.0,4.0,100,2018-06-23 06:00:00,0.0862754380044176,100
230,36.0,6.0,100,2018-06-23 06:00:00,0.0857369849527572,100
240,36.0,8.0,100,2018-06-23 06:00:00,0.0857455410088419,100
250,36.0,10.0,100,2018-06-23 06:00:00,0.0861907425010231,100
300,38.0,0.0,100,2018-06-23 06:00:00,0.0868960202582835,100
310,38.0,2.0,100,2018-06-23 06:00:00,0.0875993461684534,100
320,38.0,4.0,100,2018-06-23 06:00:00,0.08804476790316,100
330,38.0,6.0,100,2018-06-23 06:00:00,0.0910229921464283,100
340,38.0,8.0,100,2018-06-23 06:00:00,0.090905447844974,100
350,38.0,10.0,100,2018-06-23 06:00:00,0.0908146981899537,100
400,40.0,0.0,100,2018-06-23 06:00:00,0.0908449758668681,100
410,40.0,2.0,100,2018-06-23 06:00:00,0.0908761174905209,100
420,40.0,4.0,100,2018-06-23 06:00:00,0.0908415891261613,100
430,40.0,6.0,100,2018-06-23 06:00:00,0.0907644653665122,100
440,40.0,8.0,100,2018-06-23 06:00:00,0.0907704474569286,100
450,40.0,10.0,100,2018-06-23 06:00:00,0.0912181122231065,100
500,42.0,0.0,100,2018-06-23 06:00:00,0.0919415457895593,100
510,42.0,2.0,100,2018-06-23 06:00:00,0.0923829989407034,100
520,42.0,4.0,100,2018-06-23 06:00:00,0.0929456643963979,100
530,42.0,6.0,100,2018-06-23 06:00:00,0.0929998111523448,100
540,42.0,8.0,100,2018-06-23 06:00:00,0.092625785365806,100
550,42.0,10.0,100,2018-06-23 06:00:00,0.0923711255317667,100
600,44.0,0.0,100,2018-06-23 06:00:00,0.0920202031575352,100
610,44.0,2.0,100,2018-06-23 06:00:00,0.0913602559549059,100
620,44.0,4.0,100,2018-06-23 06:00:00,0.0913615885695818,100
630,44.0,6.0,100,2018-06-23 06:00:00,0.0917213233117799,100
640,44.0,8.0,100,2018-06-23 06:00:00,0.0923018002338366,100
650,44.0,10.0,100,2018-06-23 06:00:00,0.12054575484240615,100